Name,Status,List Builder,C. Manager,CSM,Seller,Execution Timeline - Start,Execution Timeline - End,Total Budget,Executed Amount,Executed Take Rate %,Company,# Influencers,# UGC,Internal Handbook,Live Report,Musical Genre,Audience Country,Números,Creative Hashtags,Influencers Budget,Sub-Campaign Budget,Take Rate %,Client Handbook,# Tiktoks,# IG Reels,# IG Posts,# IG Stories,# Youtube,# Streams (Twitch/Kick),Currency,POs/Invoice,# Execution Adjustments,Execution Adjustments Reasons,# Proposal Adjustments,Proposal Adjustments Reasons,PDF Presentation,Proposal,Music List Type,Last Updated,Deal Created Date,Proposal Board Start Date,Building Proposal Start Date,Pending Approval Start Date,Execution Board Start Date,Ongoing Start Date,Building Reports Start Date,Completed Date,Proposal Timeline - Start,Proposal Timeline - End,Subelementos LWT Status,# Posts,# Published,% Progress,Views,Engagement,CPM,CPE(mile),ER%,Seller ID,CSM ID,Hubspot ID,Campaign ID,US List URL,Creative URL,Brief URL,monday Doc v2
Banda El Recodo - Solo Tu,Completed,valentina.semprun@influur.com,Mauricio Mitchel Bonilla Medina,Polina Andrieieva,Steven Campos,10/29/2025,11/9/2025,3000,2200,26.67%,Banda El Recodo,7,,https://docs.google.com/spreadsheets/d/1hG4HCTE1dTUt_NsBwDqOAa_fBF1NpN6LASuoiyvN2iE/edit?usp=sharing,https://music.influur.com/promote/7f52ce27-9f57-482a-b48a-e3e80cfce231/share?token=RbWcrZVtIZlpMyjXliy4m6Txw4wuoShICmZsQijiGPQ,Banda Regional,MEX,,"Lip-sync, POV, Reviewers",2250,0,25,,7,0,0,0,0,,USD,,,,,,,,,"Juan Meza Nov 14, 2025 10:06 AM",2025-10-24,,2025-10-24,2025-10-24,2025-10-29,2025-10-29,2025-11-10,2025-11-11,10/24/2025,10/24/2025,"9 - Canceled, 8 - Completed, 9 - Canceled, 9 - Canceled, 9 - Canceled, 8 - Completed, 8 - Completed, 8 - Completed, 3 - In Progress, 8 - Completed, 8 - Completed",7,6,85.71%,863078,25193,3.5,119,2.9,189598736,414817948,46902597747,5488,,,https://www.tiktok.com/t/ZPHvXRjoy1QYX-l3nT9/,
Concierto Rauw Alejandro CDMX,Completed,valentina.semprun@influur.com,Camila Palacio Torne,Polina Andrieieva,Steven Campos,10/30/2025,11/6/2025,5000,3450,31%,Sony Music Mexico,3,,https://docs.google.com/spreadsheets/d/1yClI0X4AYH9PVJROR2PUQvQe50ZkHx5aDK5Sn6tPNmI/edit?usp=sharing,https://music.influur.com/promote/387c3678-4d40-4a74-a235-014eee7bf0c3/share?token=qFjUpqCkrqtLN4Q0EzuG8AbAng_APhS_TJJmD7aUU_I,Reggaeton,MEX,,,3750,0,25,,3,0,0,0,0,,USD,,,,,,,,,"Juan Meza Nov 14, 2025 10:04 AM",2025-10-27,,2025-10-27,2025-10-30,2025-10-30,2025-10-30,,2025-11-11,,,"8 - Completed, 8 - Completed, 8 - Completed",3,3,100%,712087,51582,7,97,7.2,189598736,414817948,47210323571,5501,,,,
5020 F1 Activation,Completed,"Juan Meza, valentina.semprun@influur.com",Camila Palacio Torne,Camila Parra,Steven Campos,10/26/2025,11/5/2025,10666,7830,26.59%,"5020 Records, Sony Music",18,,Google Docs - https://docs.google.com/spreadsheets/d/1lwbNd4onwGhxixJMRuRd8rxeW7Uab7Y8zz-S5zIKND4/edit?gid=1834453721#gid=1834453721,https://music.influur.com/promote/23b5cd09-26f0-42d2-9074-2da95b477635/share?token=DaZxvtwo5f4WnWmrauT9-yWM9aY-VGkG7mo_aLhOEss,"pop latino, Urbano",MEX,,Lip-sync,10666,,,,15,0,0,0,0,,,,,,,,,,,"Juan Meza Nov 14, 2025 10:09 AM",2025-10-26,,2025-10-26,,2025-10-27,2025-10-27,,2025-11-11,10/26/2025,10/26/2025,"9 - Canceled, 9 - Canceled, 8 - Completed, 9 - Canceled, 9 - Canceled, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 9 - Canceled, 8 - Completed, 8 - Completed, 9 - Canceled, 8 - Completed, 3 - In Progress",15,14,93.33%,4137755,293617,2.6,36,7.1,189598736,79730684,,5455,,,,
"Álvaro Soler ""Lo que pasó, pasó""",Completed,Genesis Martinez,Camila Palacio Torne,Camila Parra,Steven Campos,10/14/2025,10/22/2025,3480,2600,25.29%,"Sony Music Entertainment España, S.L.",6,,https://docs.google.com/spreadsheets/d/1kBjeoyiyndqmDawjE9EhlL8LjG7gGXrltOS6bjfh4WU/edit?gid=1834453721#gid=1834453721,https://music.influur.com/promote/2b84b9b2-a18d-45af-b126-01b9deb4c2b1/share?token=OrTbpcfwdLbo4RKIszNWIPsJHAjtHCxrG7PaeqDlSNg,Balada Pop,ESP,,Lip-sync,2610,0,25,,6,0,0,0,0,,USD,,,,,,,,,"Federico Endrek Nov 11, 2025 9:39 AM",2025-10-10,,2025-10-10,2025-10-13,2025-10-14,2025-10-14,2025-10-24,2025-11-11,10/13/2025,10/13/2025,"8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed",6,6,100%,355302,25321,9.8,137,7.1,189598736,79730684,45719752219,5381,,,,
Matisse - Conmigo Sin Ti,Completed,valentina.semprun@influur.com,Camila Palacio Torne,Polina Andrieieva,Steven Campos,10/27/2025,11/5/2025,10850,8110,25.25%,Sony Music Mexico,14,,https://docs.google.com/spreadsheets/d/1uMErSSbN5YsUAS4sNFjKqP9-dlqOSTOhl9Q8HceiQM0/edit?usp=sharing,https://music.influur.com/promote/9c973989-c6d9-4ef9-a7ea-e6c563577b2f/share?token=qHFOgnS67YoGbE4g8hFNHfsNQb6tS0302W_oOSSvn_Q,Balada,MEX,,Lip-sync,8137.5,0,25,,14,0,0,0,0,,USD,,,,1,,,,,"Juan Meza Nov 14, 2025 10:08 AM",2025-10-24,,2025-10-24,2025-10-27,2025-10-27,2025-10-28,,2025-11-11,10/24/2025,10/24/2025,"8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 9 - Canceled, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed",14,14,100%,4324793,351491,2.5,31,8.1,189598736,414817948,46825360756,5465,,,,
"Hijos De Barrón ""Sangre Por Sangre""",Completed,Juan Val,Camila Palacio Torne,Polina Andrieieva,Steven Campos,10/22/2025,11/5/2025,2700,2000,25.93%,Sony Music Mexico,4,,https://docs.google.com/spreadsheets/d/1aPZX2RedWrM9X72JS10JyFT5-QB_rbF5NqhVOgxmHQ0/edit?usp=sharing,https://music.cobrand.com/promote/e44b77e6-6e45-419c-9778-e3aa3b9d1a4e/?oid=1c20fb6e-c5b0-4dee-90c6-3132f049709c&aid=&promotionId=e44b77e6-6e45-419c-9778-e3aa3b9d1a4e,Banda Regional,MEX,,lyrics,2025,0,25,https://docs.google.com/spreadsheets/d/11YK1YWsrxjGf5b2fuZRqiNvFQH8vHFDZeGxxrcIALfg/edit?usp=sharing,7,0,0,0,0,,USD,,4,,,,,,,"Juan Meza Nov 14, 2025 10:11 AM",2025-10-15,2025-10-14,,,2025-10-22,2025-10-22,,2025-11-11,10/15/2025,10/15/2025,"8 - Completed, 9 - Canceled, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed",7,7,100%,393081,5100,6.9,529,1.3,189598736,414817948,,5431,,,Sound Oficial: https://vt.tiktok.com/ZSH7WhRPtTTvd-uwR7g/,
Ryan Castro - Tour US,Completed,valentina.semprun@influur.com,Paola Benítez,Polina Andrieieva,Steven Campos,10/17/2025,11/10/2025,13000,11710,9.92%,XYZ,11,,https://docs.google.com/spreadsheets/d/1h-TvtS06lQVOIoYVn4M0ms1zYNz3MzI5KYaGR9kdRQI/edit?usp=sharing,Ryan Castro - Tour US | Influur - https://dashboard.influur.com/client/ryan-castro---tour-us-24582-147,"Reggaeton, reggaeton","US LAT, US Hispanic, US (LA)",,"POV, Dance",13000,,,Ryan Castro - Tour US - Client List - https://docs.google.com/spreadsheets/d/1lgMsfRwJNhOAAfjB0EBe-08nSLFpp32IX1K0C5-fV7A/edit?usp=sharing,9,3,0,0,0,,USD,,,,,,,,,"Juan Meza Dec 13, 2025 6:00 PM",2025-08-11,,2025-10-01,2025-10-01,2025-10-17,2025-10-17,,2025-11-11,8/11/2025,8/11/2025,"8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 3 - In Progress, 8 - Completed, 3 - In Progress, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 9 - Canceled, 9 - Canceled",12,10,83.33%,7300000,671000,1.8,19,9.2,189598736,414817948,9789708356,5542,,,,
ZION Y LENNOX “Bandolera” Phase 2,Completed,Juan Val,Paola Benítez,Polina Andrieieva,Steven Campos,11/3/2025,11/11/2025,2680,2312,13.73%,XYZ,4,,https://docs.google.com/spreadsheets/d/1tKoJnIVByB7HgDfQ31ulPCvFq2xp1nmIRc3pRfqg1J4/edit?usp=sharing,https://dashboard.influur.com/client/zion-y-lennox-bandolera-phase-2--73302-147,Reggaeton,"ARG, COL",,POV,2251.2,0,16,https://docs.google.com/spreadsheets/d/1BeGE_5rU17z6RuVkn_tiuKeXt5AcXawRJwUPGMt6UUE/edit?gid=401605393#gid=401605393,4,0,0,0,0,,USD,,,,,,,,,"Juan Meza Nov 14, 2025 10:02 AM",2025-10-31,,2025-10-31,2025-11-03,2025-11-03,2025-11-03,,2025-11-11,11/3/2025,11/3/2025,"8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed",4,4,100%,4500000,468000,0.6,6,10.4,189598736,414817948,47831448198,5514,,,https://www.tiktok.com/music/La-player-Bandolera-6704984475765327873?_d=secCgYIASAHKAESPgo8R%2Bx57SBUC%2B5z3TsBl4LhFw9TR3fVXZs%2BL%2FYO5FEEWuXX2pVxhIMEi8AXNN08HWsTTHm8pP5ybtOl4qqVGgA%3D&_r=1&_svg=1&checksum=6b4bdd8927af319ec4a0d6de2a49d17a8bc4da170ffaad824d010b66b3ecb265&sec_user_id=MS4wLjABAAAA67v5FP-yuIB0IlPWy1e6xE72usOY_tWOwbg-SHLMDvNpQykelJsvxxjNcU-t9Kg2&share_app_id=1233&share_link_id=4468DC27-A9A8-4D7A-A515-DBFD31D2A773&share_music_id=6704984475765327873&sharer_language=es&social_share_type=7&source=h5_m×tamp=1759184124&tt_from=copy&u_code=a7jg0dm548gjd&ug_btm=b2001%2Cb5171&user_id=226631882334171136&utm_campaign=client_share&utm_medium=ios&utm_source=copy,
Destino - Algo para siempre (micros),Completed,Genesis Martinez,Sol Gallelli,Polina Andrieieva,Steven Campos,10/31/2025,11/12/2025,2500,1875,25%,"Hybe Latin America US, Inc.",,47,https://docs.google.com/spreadsheets/d/1PLZSWpMkb6r0dbnO3J_ye5msjE8F1zhZC8logufY0S0/edit?usp=sharing,influur | Destino - Algo para siempre (micros) - https://music.influur.com/promote/fa2ecf39-90d7-4366-90f2-c367e45944ca/share?token=FrIgfIvKDBpNekfSJBfADWmpzTNiFGFFIwL9pADvwds,Banda Regional,MEX,,Libre,1875,0,25,https://docs.google.com/spreadsheets/d/1EbTUB9bvq-N7LXrzJQ-pj9c-64x6kMr5NWrpJuEvVp4/edit?usp=sharing,1,0,0,0,0,,USD,,,,,,,,,"Juan Meza Nov 29, 2025 1:06 PM",2025-10-29,,2025-10-29,2025-10-29,2025-10-31,2025-10-31,,2025-11-12,10/29/2025,10/29/2025,3 - In Progress,1,0,0%,591246,48181,4.2,52,8.1,189598736,414817948,47660277523,5510,,,,
"Selines + Fabio Capri  ""Te deseo lo mejor""",Completed,Juan Val,Mauricio Mitchel Bonilla Medina,Polina Andrieieva,Steven Campos,10/30/2025,11/13/2025,1500,1125,25%,Interscope Records,8,,https://docs.google.com/spreadsheets/d/1f4N8JgfRmylRQBzQzJ4Puk5ERvZIM4LE-XYM36UTE5A/edit?usp=sharing,https://music.influur.com/promote/4ddd8959-c8c5-42db-a825-69ef4ce74748/share?token=stHy-eXCZB7RPI5Z_srb8PeMHH4rITz_v3YIt_qB0X0,POP,"MEX, US LATIN",,lyrics,1125,0,25,https://docs.google.com/spreadsheets/d/17KcB_pZ0JiHKtD_uRYex22LI0gPuR7Qi7YRByaWqLYI/edit?gid=1534480936#gid=1534480936,8,0,0,0,0,,USD,,,,,,,,,"Juan Meza Nov 14, 2025 10:05 AM",2025-10-28,,2025-10-28,2025-10-29,2025-10-30,2025-11-12,,2025-11-13,10/28/2025,10/28/2025,"3 - In Progress, 3 - In Progress, 3 - In Progress, 3 - In Progress, 3 - In Progress, 3 - In Progress, 3 - In Progress, 3 - In Progress",8,0,0%,370104,6591,4.1,228,1.8,189598736,414817948,47098407838,5498,,,https://vt.tiktok.com/ZSHvvWepkBPgo-T6WdW/,
"MC Hariel ""XT2"" BR Campaign",Completed,"Genesis Martinez, Julius Breyer","Carolina Anaya, maria.escobar@influur.com",Justin Nho,Steven Campos,9/30/2025,11/13/2025,15000,12060,19.6%,"Meta Platforms, Inc.",16,,https://docs.google.com/spreadsheets/d/1a-badjRxwytzfFMfmijxQafSFcNxk3wCJKFf79QKVCY/edit?usp=sharing,"influur | MC Hariel ""XT2"" - https://music.influur.com/promote/ceac0fe6-1254-47e7-9309-3813f6675a67/share?token=Wmm-nTe6Kp5a_VboXM2jO14OUMpQeYDrsCNT3aD7mgg",Funk,BR,,Lip-sync,11250,15000,25,,0,17,0,0,0,,USD,,,,,,,,,"Juan Meza Nov 30, 2025 10:07 AM",2025-09-23,,2025-09-23,2025-09-25,2025-09-30,2025-09-30,2025-11-13,2025-11-14,9/25/2025,9/25/2025,"8 - Completed, 9 - Canceled, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 1 - Sent, 9 - Canceled, 9 - Declined, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 9 - Canceled, 9 - Declined, 9 - Canceled, 8 - Completed, 9 - Canceled, 8 - Completed, 8 - Completed, 9 - Canceled, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed",17,16,94.12%,3250701,90768,4.6,165,2.8,189598736,1003108766,44452368201,5282,,,,
"Tame Impala ""Dracula"" Halloween",Completed,Juan Val,Camila Palacio Torne,Camila Parra,Steven Campos,10/29/2025,11/6/2025,6000,5400,10%,Sony Music Latin,12,,https://docs.google.com/spreadsheets/d/1UR5GoEoU8yGnV4gbOLVuN-aPuyThOQfiWrkmva74-SE/edit?usp=sharing,"influur | Tame Impala ""Dracula"" Halloween - https://music.influur.com/promote/8df1263a-e90f-4a0a-8572-b7451ce3bd46/share?token=Wjk6ZhOlJE2LxbvghoOqIJpojnBrLKNzCUETVxKR4p0",Indie,"PER, CH, COL, MEX",,,4800,0,20,https://docs.google.com/spreadsheets/d/1iJyF8bLN7UUSvpLelRjNOdFURAmAYRV65P1JwGhPq50/edit?gid=1102545882#gid=1102545882,14,0,0,0,0,,USD,,,,,,,https://www.canva.com/design/DAG3HXOY8cQ/kBKewPTa-vTibUUB6K0DOA/edit?utm_content=DAG3HXOY8cQ&utm_campaign=designshare&utm_medium=link2&utm_source=sharebutton,,"Juan Meza Nov 29, 2025 1:08 PM",2025-10-28,,2025-10-28,2025-10-28,2025-10-29,2025-10-29,,2025-11-14,10/28/2025,10/28/2025,"8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 9 - Declined, 8 - Completed, 1 - Sent, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 9 - Canceled, 9 - Canceled, 9 - Canceled, 8 - Completed",14,13,92.86%,2386117,169853,2.5,35,7.1,189598736,79730684,47426747922,5480,,,,
Harry Nach “Call Me ft Polimá Westcoast”,Completed,Juan Val,Paola Benítez,Polina Andrieieva,Steven Campos,11/4/2025,11/15/2025,4020,3450,14.18%,XYZ,4,,Google Docs - https://docs.google.com/spreadsheets/d/1Vf6i8TfZPrKc7zCFylOZIc5jYlzyRmNOYgkFtFmImWE/edit?gid=2039937871#gid=2039937871,"Harry Nach ""Call Me ft Polimá Westcoast"" | Influur - https://dashboard.influur.com/client/harry-nach-call-me-ft-polim%C3%A1-westcoast-35902-147","Trap, trap latino",CH,,"POV, Lip-sync",-157584,0,4020,https://docs.google.com/spreadsheets/d/11b1y4ZzPTEeZWVFKrUjZ-_rT-5baNcp165MW-OATNFg/edit?gid=1865379279#gid=1865379279,4,0,0,0,0,,USD,,,,,,,,,"Juan Meza Nov 29, 2025 1:04 PM",2025-10-29,,2025-10-29,2025-10-30,2025-11-04,2025-11-04,,2025-11-16,10/30/2025,10/30/2025,"8 - Completed, 8 - Completed, 8 - Completed, 9 - Canceled, 8 - Completed",4,4,100%,4900000,128000,0.8,31,2.6,189598736,414817948,47660526105,5517,,,https://www.tiktok.com/@harrynachh/video/7566053625353555208 - este no es el audio final pero la referencia,
"PABLO ALBORÁN ""Mis 36""",Completed,valentina.semprun@influur.com,Paola Benítez,Polina Andrieieva,Steven Campos,10/24/2025,11/17/2025,5360,5520,-2.99%,XYZ,6,100,https://docs.google.com/spreadsheets/d/1Gl_cMQcbUb0RLlUF1e1mxZJ65GQ8H-cE04ZWMlkXCPo/edit?usp=sharing,https://dashboard.influur.com/client/pablo-albor%C3%A1n-mis-36-26320-147,"pop latino, Balada Pop","MEX, US LATIN",,POV,4020,0,25,https://docs.google.com/spreadsheets/d/1Gl_cMQcbUb0RLlUF1e1mxZJ65GQ8H-cE04ZWMlkXCPo/edit?gid=1747033701#gid=1747033701,9,0,0,0,0,,USD,,,,,,,,,"Juan Meza Nov 29, 2025 12:45 PM",2025-10-21,,,,2025-10-24,2025-10-27,,2025-11-17,,,"1 - Sent, 1 - Sent, 8 - Completed, 9 - Canceled, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed",9,7,77.78%,,,,,,189598736,414817948,46638031633,5441,,,https://www.tiktok.com/music/Mis-36-7552269090095761425?is_from_webapp=1&sender_device=pc,
"Rivs x Juanes ""Beso de novela"" Micros",Completed,valentina.semprun@influur.com,maria.escobar@influur.com,Camila Parra,Steven Campos,10/29/2025,11/10/2025,2500,1875,25%,Warner Music Mexico,,94,https://docs.google.com/spreadsheets/d/1C22fxmexOXpVhyHSS5mkseurz1LSiB6A8-bA8PEVDi8/edit?usp=sharing,https://music.influur.com/promote/31183ad4-d97e-429a-8678-b0e7fe1246e3/share?token=UdNj38yfkqwo3FAq15OOcNGD6yBZuRsvltJwwM06vPc,"latin pop, Regional MX",MEX,,MicrosExpress,1875,0,25,,1,0,0,0,0,,USD,,,,,,,,,"Juan Meza Nov 29, 2025 1:08 PM",2025-10-29,,2025-10-29,,2025-10-29,2025-10-29,2025-11-12,2025-11-17,10/29/2025,10/29/2025,8 - Completed,1,1,100%,178044,10226,14,244,5.7,189598736,79730684,47720297332,5489,,,https://vt.tiktok.com/ZSHvcLJ16GtUg-iVah1/,
"Geese ""Au Pays Du Cocaine""",Completed,Genesis Martinez,Mauricio Mitchel Bonilla Medina,Polina Andrieieva,Steven Campos,11/6/2025,11/18/2025,2000,1480,26%,D Music Marketing,5,22,Google Docs - https://docs.google.com/spreadsheets/d/1pLQfupGlwLkQ5dRknIvIWVKTvYKX7Rmof_1CwRtSrC0/edit?gid=1490128328#gid=1490128328,https://music.influur.com/promote/aee9e3ef-ad19-4b1f-85e9-f7d4e5d3d944/share?token=ixW-IOOxz7NC7b5YegONx6MyClffX6E3mynriILDrW8,rock alternativo,"México, Colombia, Chile y Argentina",,"lyrics, POV",1500,0,25,,6,0,0,0,0,,USD,,,,,,,,,"Juan Meza Nov 29, 2025 1:01 PM",2025-10-29,2025-10-29,,,,,2025-11-19,2025-11-19,10/29/2025,10/29/2025,"8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed",6,6,100%,675884,38847,3,51,5.7,189598736,414817948,,5540,,,https://www.tiktok.com/music/Au-Pays-du-Cocaine-7512051164009449489,
Jisoo ft. Zayn “Eyes Closed”,Completed,"Juan Val, valentina.semprun@influur.com",maria.escobar@influur.com,Camila Parra,Steven Campos,10/24/2025,11/16/2025,10000,7400,26%,Warner Regional Latam,8,,https://docs.google.com/spreadsheets/d/1S5LUTgJY-il1KbO-v14HXX6IJCymCOWaAq0RzS8q6gc/edit?usp=sharing,https://music.influur.com/promote/8ea4b05c-f8fd-4164-aa2e-37ef9e610952/share?token=hWcVaGk6YKfcETYiQor-qDFwlWVedUzN9duGtu3slbU,Pop,"MEX, BR",,parejas,7500,0,25,,8,0,0,0,0,,USD,,,,,,,,,"Juan Meza Nov 30, 2025 9:48 AM",2025-10-23,,2025-10-23,2025-10-24,2025-10-24,2025-10-24,2025-11-17,2025-11-19,10/24/2025,10/24/2025,"8 - Completed, 8 - Completed, 9 - Canceled, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 9 - Canceled, 8 - Completed",8,8,100%,3856083,467359,2.6,21,12.1,189598736,79730684,46709600262,5444,,,,
"Camilo ""Maldito Chatgpt"" - Meta & Sony Latin",Completed,"camila.parra@influur.com, Genesis Martinez","Genesis Martinez, Carolina Anaya",,No asignado,6/27/2025,7/18/2025,30000,,100%,"Meta Platforms, Inc.",23,10,https://docs.google.com/spreadsheets/d/1cNBfxXjrrTF3OUcqDnnYM3_fRn_iXNmmCZCEqoBs8f0/edit?usp=sharing,"influur | Camilo ""Maldito Chatgpt"" - Meta & Sony Latin - https://music.influur.com/promote/2dd1ccdb-cad4-410e-92b1-662455e668bb/share/?token=B7Jy0edUq3uRz_o5kBPEMOQY_A0DNVN7IOIBIJ6dhhs",Pop,US LATIN,,"SocialSpread, POV",30000,,,,,,,,,,,,,,2,,,,,"Esteban Calderon Nov 19, 2025 9:28 PM",2025-06-20,,2025-06-20,2025-06-27,2025-06-27,2025-06-27,2025-07-18,2025-11-19,6/20/2025,6/20/2025,,,,,12744495,267394,2.4,112,2.1,,,,,,,,
"Almas ""Butterflies"" Reels",Completed,Genesis Martinez,Mauricio Mitchel Bonilla Medina,,Steven Campos,9/19/2025,10/3/2025,10000,7750,22.5%,Universal Music Latin,10,,https://docs.google.com/spreadsheets/d/1Ck8bpp59wFOPW9VKD9Yy4xSTgZgIMm4TN9IGnYzCfIc/edit?gid=658587780#gid=658587780,https://music.influur.com/promote/54b81a73-16a7-466e-9004-baf163ff332b/share?token=yk_-m6LU28BqYVJ56zuAfKqa5fwXwlqNSV2wk63aruk,POP,"ARG, US LATIN, MEX",,"Dance, TREND",10000,,,,0,12,0,0,0,,USD,,,,1,,,,,"Federico Endrek Nov 20, 2025 1:03 PM",2025-08-14,2025-08-14,2025-08-14,2025-08-29,2025-09-19,2025-09-19,2025-11-20,2025-11-20,8/15/2025,8/15/2025,"8 - Completed, 9 - Declined, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 9 - Canceled, 8 - Completed, 9 - Declined, 1 - Sent, 9 - Canceled, 8 - Completed, 1 - Sent, 8 - Completed, 8 - Completed, 8 - Completed",12,10,83.33%,1942346,96138,5.1,104,4.9,189598736,,9822921884,5199,,,,
"Sebastian Yatra ""Milagros""",Completed,Genesis Martinez,Mauricio Mitchel Bonilla Medina,,Steven Campos,8/5/2025,8/16/2025,13000,10100,22.31%,Universal Music Latin,6,,https://docs.google.com/spreadsheets/d/1QeZJmvG-gIaI49N01imLang2BxT3TIZZmkOlwDNxuN4/edit?usp=sharing,"influur | Sebastian Yatra ""Milagros"" - https://music.influur.com/promote/7d5c5f5c-ac5b-4e9d-9acf-9c6bdb1f8524/share?token=NQjj7-l0mB5DUOoPknFDJpRTf0gHhkGYVsQdnE0G1q4","Balada Pop, Reggaeton, POP","US LATIN, COL, MEX, ESP",,"boda, wedding, POV",13000,,,,0,6,0,0,0,,USD,,,,1,,,,,"Federico Endrek Nov 20, 2025 1:03 PM",2025-07-01,2025-07-01,2025-07-17,2025-07-23,2025-08-05,2025-08-05,2025-11-20,2025-11-20,7/23/2025,7/23/2025,"8 - Completed, 9 - Canceled, 8 - Completed, 9 - Canceled, 8 - Completed, 9 - Canceled, 9 - Canceled, 8 - Completed, 9 - Canceled, 8 - Completed, 9 - Canceled, 9 - Canceled, 8 - Completed",6,6,100%,6552511,402000,2,32,6.1,189598736,,9497396914,,,,,
"Manuel Turizo ""Mirame Ahora"" Phase 3",Completed,Genesis Martinez,maria.escobar@influur.com,Polina Andrieieva,Steven Campos,9/12/2025,10/10/2025,23000,,100%,La Industria LLC,16,,https://docs.google.com/spreadsheets/d/1L6xub_AjsmqNHfQdalI1Ed-bNAeR_zb4cmmmF5U8hu4/edit?usp=sharing,https://music.influur.com/promote/6639af29-b6b9-4745-881f-a3dfcb2fdc54/share?token=XBNJLrra-TcsNYNu1opJgoClBCRUNxHvx7QLiY5AqPM,Urbano,"COL, US LATIN, MEX",,Dance,23000,,,,,,,,,,USD,,,,1,,,,,"Juan Meza Jan 29, 2026 10:50 AM",2025-09-10,2025-09-10,2025-09-11,2025-09-11,2025-09-12,2025-09-12,2025-10-18,2025-11-20,9/10/2025,9/10/2025,,,,,,,,,,189598736,414817948,,,,,,
"Blessd ""Diomedez""",Completed,Juan Val,maria.escobar@influur.com,Camila Parra,Steven Campos,10/30/2025,11/14/2025,10000,7300,27%,Warner Regional Latam,14,,Google Docs - https://docs.google.com/spreadsheets/d/1YJ-RujNyL5NECOtJnm3PJ7r1uzwsGFEkKl-NMI-FOJY/edit?gid=1419899602#gid=1419899602,https://music.influur.com/promote/3029edee-cbc7-4ea3-b611-22b101ec96ba/share?token=x5ogFYdCnT-Q78aYg6DPTKIgSuOVT6eh97N_TYFDqrM,Urbano,"MEX, COL",,Lip-sync,7500,0,25,https://docs.google.com/spreadsheets/d/1Og7xWjH1UEvSomxlI9pYkZKaxIdaOh7j3II6dnXK7uw/edit?gid=1688576642#gid=1688576642,14,0,0,0,0,,USD,,,,,,,,,"Juan Meza Nov 29, 2025 1:06 PM",2025-10-29,,2025-10-29,2025-10-30,2025-10-30,2025-10-30,2025-11-15,2025-11-20,10/30/2025,10/30/2025,"8 - Completed, 9 - Declined, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 9 - Canceled, 8 - Completed, 8 - Completed, 9 - Canceled, 8 - Completed, 8 - Completed, 8 - Completed, 9 - Declined, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed",14,14,100%,7283839,546301,1.4,18,7.5,189598736,79730684,47659911594,5500,,,,
Elena Rose - Latin Grammys x Galore,Completed,,maria.escobar@influur.com,Camila Parra,Steven Campos,11/13/2025,11/14/2025,2000,1500,25%,Warner Regional Latam,1,,https://docs.google.com/spreadsheets/d/1KwOwFLZ5u1YcKoZYrLozedG1POqwRYuFctimnsGCv9Q/edit?usp=sharing,https://music.influur.com/promote/2d91f089-acbb-4534-847d-30f0bffa7f42/share?token=8tO_2y2Z-BCAnOqTjHCZyIH3SINb-xebfDXDxQDm_-s,pop latino,US LAT,,SocialSpread,1500,2000,25,,0,0,1,0,0,,USD,,,,,,,,,"Juan Meza Nov 29, 2025 1:09 PM",2025-11-15,,,,2025-11-15,2025-11-15,2025-11-19,2025-11-20,,,8 - Completed,1,1,100%,,4240,,472,,189598736,79730684,49133949554,5621,,,,
